image_id,center_card,active_player,player_1_cards,player_2_cards,player_3_cards,player_4_cards
L1000770,y_1,p3,EMPTY,y_4;g_2;r_3,r_skip;y_2;b_5,EMPTY
L1000771,r_5,p1,y_7;y_8;g_4,EMPTY,r_9;y_0,EMPTY
L1000772,r_9,p2,y_8;b_6;g_3,b_skip;r_0;r_3,r_6;g_2;r_9,b_draw_2;y_7
L1000773,y_8,p4,r_1;wild;g_2,EMPTY,draw_4;g_reverse;y_1,y_reverse;r_3
L1000774,r_4,p3,g_4;g_8;r_7;b_3,r_9;g_3,wild;y_3;r_8,b_7;b_6
L1000775,r_1,p4,r_7;y_0;wild,b_5;g_8;b_1,y_3;g_4;r_0,r_4;wild
L1000776,y_3,p2,b_4;draw_4,r_8;g_3,b_5;y_skip;r_draw_2,y_7
L1000777,r_7,p2,wild;b_4,r_reverse;y_3,r_7;b_draw_2,EMPTY
L1000778,b_9,p4,EMPTY,b_1;y_7,b_3;g_2;y_reverse,b_5;r_2
L1000779,b_7,p1,b_4;g_4,EMPTY,b_7;g_8;draw_4;g_7,EMPTY
L1000780,r_3,p4,b_1;r_skip;r_3,EMPTY,y_7;g_4,r_9
L1000781,g_8,p1,g_4;r_1,r_0;g_reverse,EMPTY,wild
L1000782,y_7,p4,y_3,g_skip,wild;r_5,y_reverse;b_0;g_draw_2
L1000783,y_8,p1,draw_4;g_2;y_9,g_6;b_7,EMPTY,EMPTY
L1000784,r_0,p2,EMPTY,y_0;b_7;wild,EMPTY,b_8;g_7;r_4
L1000785,b_6,p4,y_skip;r_6;y_2,EMPTY,EMPTY,b_0;y_0;b_7
L1000786,y_6,p4,wild,g_0,r_4,y_8
L1000787,g_2,p2,EMPTY,draw_4;y_9,g_3,r_draw_2
L1000788,b_7,p3,g_4;b_2,g_8;y_skip,b_draw_2;b_1,EMPTY
L1000789,y_1,p4,EMPTY,wild,g_2;r_2,draw_4;y_4
L1000790,y_8,p1,r_skip;y_2;r_8,EMPTY,wild;r_draw_2;y_8;y_1,EMPTY
L1000791,g_4,p1,g_7;r_2;b_7,b_draw_2;r_3,EMPTY,b_0;y_0
L1000836,r_7,p3,EMPTY,g_2;g_skip,b_3;y_7,r_9;g_1
L1000837,b_1,p1,g_draw_2;b_4,g_skip;r_3;r_0;g_1,EMPTY,EMPTY
L1000838,y_7,p3,EMPTY,y_5;wild,y_8;g_4;g_7,EMPTY
L1000839,b_1,p4,EMPTY,b_draw_2;b_1;g_6,EMPTY,g_7;b_6
L1000840,g_4,p1,g_7;y_7;b_draw_2,EMPTY,g_4;r_9,EMPTY
L1000841,g_5,p1,y_9;b_reverse;g_7,EMPTY,y_reverse;r_draw_2;b_4,r_4;wild
L1000842,r_0,p2,b_1;y_5;wild,r_3;y_0,b_0;g_reverse,y_8
L1000843,g_1,p2,b_5;draw_4,b_1;b_3,y_draw_2,r_8;y_4
L1000844,r_6,p2,r_5;b_9;b_draw_2,g_1;r_6,EMPTY,r_skip;b_1
L1000846,b_3,p3,y_1;g_9,EMPTY,r_reverse;b_7;g_6,b_reverse;y_6
L1000847,g_8,p1,g_1;y_7;b_5,r_4;b_reverse,EMPTY,g_9;y_6
L1000848,b_3,p4,b_7;g_4,b_3;r_0,g_7;y_7,b_draw_2;r_reverse;b_9
L1000849,y_4,p4,g_6;draw_4,b_draw_2;wild,b_9;g_5,r_9;g_4;y_7
L1000850,g_2,p1,y_9;g_9;y_5;wild,y_2;y_skip;y_3,b_3;g_3;r_3,b_6;g_7
L1000851,r_6,p1,r_4;r_3,b_reverse;r_reverse,EMPTY,g_6;g_8
L1000852,g_2,p1,g_skip;y_5,EMPTY,g_7;r_skip;b_skip,g_1
L1000853,b_6,p1,b_0,g_draw_2;g_skip,b_2;r_0,y_2;g_reverse;r_6
L1000855,g_5,p2,g_8;r_3,g_0;r_draw_2;b_4,y_5;y_7,b_skip;r_4
L1000856,y_2,p2,r_6;b_reverse,r_4;y_3,EMPTY,EMPTY
L1000857,g_6,p3,EMPTY,EMPTY,y_reverse;r_1;y_8;g_2,y_5;g_reverse;r_1
L1000902,r_8,p2,y_2,b_8;g_7,r_3;wild;b_5,EMPTY
L1000903,b_8,p1,y_7;y_8,EMPTY,EMPTY,y_7;r_draw_2;g_6
L1000904,g_2,p1,g_5;b_2;y_7,draw_4;b_1,r_draw_2;y_6;g_reverse,EMPTY
L1000905,r_0,p2,EMPTY,r_9;g_0,r_8;b_4,EMPTY
L1000906,g_4,p4,g_2;y_7;b_7,b_3;g_skip,g_7,g_5;b_2
